Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
European Union,EUU,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,47.5882305264376,47.0186199502295,46.5042576820666,48.7406230636156,47.6393194928192,47.0504972492882,47.2924027938818,46.3897109928043,47.1154253860657,45.4035914974805,45.4213967487643,46.4568021000488,46.8653725318992,47.506316029075,49.5865112114504,48.9501467068605,49.3236406806134,50.7421278400985,49.9936751043252,47.8797764842981,48.4666511225839,49.7404188065671,48.4053426926916,49.6085390540789,..
BOLIVIA,BOL,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,42.4487197623426,47.1728949165772,45.2669626284883,48.4737694956451,44.9555897013079,45.6974010498857,44.5322442752219,44.5633613991002,44.2692691371839,46.6965158337398,46.8211536539367,46.7115690064759,..,..,..,..,..,..,..,..,..,..,..,..,..
BARBADOS,BRB,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,25.3682192919659,31.2436691052335,36.4290623540778,39.6019548390939,41.8199663685029,42.2553979765404,40.4512221868372,40.1858571364681,35.7290468057133,39.1624489589364,40.2522150049474,39.0599713640094,40.8892601152788,37.8835108649118,..,..,..,..
BAHAMAS,BHS,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,13.6439520412809,13.2924723295971,11.4501501078836,18.4157742219982,25.4036929761043,23.7716262975779,23.5396120082367,23.3133133133133,24.7389349033631,26.7237814254999,20.3979046465778,23.7106153621514,23.6168608697204,20.3599047662588,7.83025368778737,9.47026504823283,7.25948191737014,7.68031456361357,9.43276905165256,19.5055918714155,24.7408811919119,23.4405614982555,22.4857317602334,23.9324083175588,..
BELIZE,BLZ,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,9.90126245681014,18.261956762574,17.7494733822075,17.1607994478989,14.5743868769988,15.9778750591576,14.794952233594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DOMINICAN REPUBLIC,DOM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,26.2033238666246,28.8745445298294,26.2989411475006,26.2746243296342,17.4816323224844,20.6499771557381,15.4851603952839,15.4530389770979,35.5821116989813,33.3449334342212,32.0315516298238,29.5340381533977,38.9332257186061,28.1564456366579,26.2297817482813,26.0157676691133,27.8429584279733,26.5125973799626,26.0073148361697,16.5457774328592,17.1649295777265,13.1588971319487,15.1848888855402,15.764379190112,..
ECUADOR,ECU,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EL SALVADOR,SLV,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,16.4164423670787,11.4962992473995,9.68645839218123,29.1036047212278,3.14720812182741,4.1704758173349,4.69823584029712,24.5888021265991,23.28903930979,20.9237108681966,21.1665811401901,20.9862435722762,22.4654274425287,24.8924207948458,24.3948046818024,14.6569112121811,27.7052783460858,28.4693328834699,21.5792906499906,19.4286839967821,17.7442417083709,19.7277480617826,..
GUATEMALA,GTM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,29.2843296484518,19.8573265891255,21.2186155195571,20.9818717954484,22.4565190320037,21.951164138257,40.5306885935481,34.0893107171579,34.1795512689539,24.3345073460187,36.9731320325693,36.3490277015361,36.9080993504897,32.6581419844221,31.647235226509,31.8178243220636,32.5944744141277,31.9185752038285,33.7285434101813,33.5264946632428,36.4245469751068,37.4678771098523,35.6223425398823,34.387589181153,..
HAITI,HTI,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
