Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Armenia,ARM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,36.4787299848388,37.2038664577498,34.8949012420339,43.2036325216861,37.3657557959751,38.9762304322905,35.9958366985256,37.1509682135502,36.8931917539003,40.9483948233817,37.2763177987999,46.0949296237076,38.4726191534051,40.2112335295929
Bangladesh,BGD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,30.611836788177,29.0459653864619,29.3195705526286,31.4721549938175,34.8718853086575,35.9777485024368,34.4008133716489,35.5887568364776,36.6705806985705,32.6234677235721,31.7695348689168,34.1006145193209,..,..
Benin,BEN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,10.0059225723252,10.9997937912747,9.68900776012067,9.57429547312402,11.1233191840825,11.8382049348914,10.8866794759763,8.96921817813208,8.34393650881837,12.7566149856025,10.8085557271643,13.497809957987,19.618758686786,18.0921117350588
Burundi,BDI,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,18.6438460510159,19.1486688387302,18.1868098792462,24.628969437939,18.2508908256665,24.1924873338974,24.7865075220669,28.0069235201609,23.6298376459776,23.4411755634866,22.6550816229257,20.6744611423635,21.8501044266988,19.709741164221
Colombia,COL,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,40.3590489459105,41.355783183198,41.8064964873265,34.8807849977294,51.2294352574364,54.7121781343506,58.8273764991113,59.9422974705013,48.5539122521125,55.3285861021509,58.0777071372546
"Congo, Dem. Rep.",COD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,7.06737615228959,3.86615945966928,6.31643499591169,3.70768404083826,8.3936561354763,10.6022725416642,14.803456659365,15.0832277687549,11.8209863298478,9.98200761120228,38.2369470498058,35.2630890180993,34.6572403259254,38.5510944748769
Dominican Republic,DOM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,33.3449334342212,32.0315516298238,29.5340381533977,38.9332257186061,28.1564456366579,26.2297817482813,26.0157676691133,27.8429584279733,26.5125973799626,26.0073148361697,16.5457774328592,17.1649295777265,13.1588971319487,15.1848888855402
"Egypt, Arab Rep.",EGY,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,26.6969062099546,42.521686796995,39.4178557436354,45.7640588093857,44.7459642867853,41.570288184918,41.6226599614065,41.3788782903158,42.7972845074372,41.7032914846835,37.2126962642122,..,..,..
Ethiopia,ETH,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,41.759600358974,25.165374042415,8.60482802794274,60.1922614383142,57.7572291488631,60.4969438450968,63.674755678466,72.8451198406866,60.2984288267348,56.9647919470399,57.4141627864766,53.8735942517378,52.5795151753014,52.7004081673093
Guatemala,GTM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,24.3345073460187,36.9731320325693,36.3490277015361,36.9080993504897,32.6581419844221,31.647235226509,31.8178243220636,32.5944744141277,31.9185752038285,33.7285434101813,33.5264946632428,36.4245469751068,37.4678771098523,35.6223425398823
Honduras,HND,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,15.2231337543353,12.5053782423161,16.2877790911964,12.7555939104095,7.76063236320159,6.54729031045099,8.69922613673761,8.25800041908194,2.7663435712028,7.5749996558985,2.012267807507,..,..,..
Jordan,JOR,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,38.3022188698221,30.8083899124287,26.3294896122221,34.7621088726961,29.8176674001886,29.3440417787625,37.146731491128,38.3538409350233,32.2308770836579,30.9568506389665,29.8367636621718,28.2909378882836,28.2719254099012,28.5837800449594
Kenya,KEN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,29.8715694039501,30.6087135368738,32.5074766551749,36.9862798378431,23.7052014266002
Lesotho,LSO,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,22.841007576393,21.8907547074407,24.1983242725516,20.5579519065641,26.8929590746861,23.9666992738472,26.3021523269601,25.3946761386129,22.8648137434344,23.9808648232371,23.541130270015,24.46654700745,25.247465342968,23.3205212420493
Malawi,MWI,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,41.6257820016138,31.7144619537926,32.7875528443501,29.0766477232432,31.0883945205932,31.0857768898697,26.7113930583325,28.3421471275843,19.836009993137,18.6869839846101
Maldives,MDV,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,4.89953265996167,2.67127928956097,2.56550967210866,6.42083824632865,4.81009480998072,..,..,..,..,..,..,..,..,..
Mali,MLI,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,18.8054710000724,17.5304279544562,14.324979267003,14.9684930877608,16.2295702806017,19.4567751711333,18.1397029897977,22.7926567489249,14.5150923065968,23.175765227574,23.4466588511137,21.6865310511695,21.8592641403761
