"LOCATION","Country","PSECSE_INDICATOR","PSECSE indicator","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"UKR","Ukraine","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","UAH","Hryvnia","6","Millions",,,24173.976743,,
"UKR","Ukraine","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","UAH","Hryvnia","6","Millions",,,32216.302678,,
"UKR","Ukraine","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","UAH","Hryvnia","6","Millions",,,19080.516076,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2000","2000","VND","Dong","6","Millions",,,12369853.09,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2001","2001","VND","Dong","6","Millions",,,18875889.698,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2002","2002","VND","Dong","6","Millions",,,-1564505.533,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2003","2003","VND","Dong","6","Millions",,,18473944.284,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2004","2004","VND","Dong","6","Millions",,,20186249.393,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2005","2005","VND","Dong","6","Millions",,,22690209.652,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2006","2006","VND","Dong","6","Millions",,,20442200.358,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2007","2007","VND","Dong","6","Millions",,,1700357.9292,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2008","2008","VND","Dong","6","Millions",,,-110669163.9,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2009","2009","VND","Dong","6","Millions",,,69206293.63,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2010","2010","VND","Dong","6","Millions",,,59743085.885,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2011","2011","VND","Dong","6","Millions",,,47001282.489,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2012","2012","VND","Dong","6","Millions",,,63774764.072,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2013","2013","VND","Dong","6","Millions",,,32493580.699,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2014","2014","VND","Dong","6","Millions",,,4658186.1106,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2015","2015","VND","Dong","6","Millions",,,-4704664.668,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2016","2016","VND","Dong","6","Millions",,,-23712065.62,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","VND","Dong","6","Millions",,,14194939.395,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","VND","Dong","6","Millions",,,-82296685.99,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","VND","Dong","6","Millions",,,-72492745.99,,
"VNM","Viet Nam","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","VND","Dong","6","Millions",,,-33716904.68,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1986","1986","USD","US Dollar","6","Millions",,,256857.41563,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1987","1987","USD","US Dollar","6","Millions",,,288217.9522,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1988","1988","USD","US Dollar","6","Millions",,,282135.74645,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1989","1989","USD","US Dollar","6","Millions",,,263122.32218,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1990","1990","USD","US Dollar","6","Millions",,,301580.11688,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1991","1991","USD","US Dollar","6","Millions",,,326102.56927,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1992","1992","USD","US Dollar","6","Millions",,,326268.55386,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1993","1993","USD","US Dollar","6","Millions",,,319113.5903,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1994","1994","USD","US Dollar","6","Millions",,,327322.32916,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1995","1995","USD","US Dollar","6","Millions",,,330746.48218,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1996","1996","USD","US Dollar","6","Millions",,,315106.60657,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1997","1997","USD","US Dollar","6","Millions",,,284403.6798,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1998","1998","USD","US Dollar","6","Millions",,,303926.97128,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1999","1999","USD","US Dollar","6","Millions",,,321468.36037,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2000","2000","USD","US Dollar","6","Millions",,,291912.13745,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2001","2001","USD","US Dollar","6","Millions",,,264401.28797,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2002","2002","USD","US Dollar","6","Millions",,,274678.38981,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2003","2003","USD","US Dollar","6","Millions",,,300098.13338,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2004","2004","USD","US Dollar","6","Millions",,,333692.60357,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2005","2005","USD","US Dollar","6","Millions",,,329148.27973,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2006","2006","USD","US Dollar","6","Millions",,,316899.50704,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2007","2007","USD","US Dollar","6","Millions",,,316356.87947,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2008","2008","USD","US Dollar","6","Millions",,,336001.65446,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2009","2009","USD","US Dollar","6","Millions",,,326770.98503,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2010","2010","USD","US Dollar","6","Millions",,,337976.13506,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2011","2011","USD","US Dollar","6","Millions",,,354674.30033,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2012","2012","USD","US Dollar","6","Millions",,,362045.59389,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2013","2013","USD","US Dollar","6","Millions",,,348628.93255,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2014","2014","USD","US Dollar","6","Millions",,,331013.38642,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2015","2015","USD","US Dollar","6","Millions",,,307660.67555,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2016","2016","USD","US Dollar","6","Millions",,,317195.06468,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","USD","US Dollar","6","Millions",,,315877.007,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","USD","US Dollar","6","Millions",,,331402.63578,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","USD","US Dollar","6","Millions",,,327818.2333,,
"OECD","OECD - Total","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","USD","US Dollar","6","Millions",,,327460.13341,,
"GBR","United Kingdom","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","GBP","Pound Sterling","6","Millions",,,6062.6043,,
"GBR","United Kingdom","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","GBP","Pound Sterling","6","Millions",,,6327.8742198,,
"GBR","United Kingdom","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","GBP","Pound Sterling","6","Millions",,,6412.6281006,,
"GBR","United Kingdom","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","GBP","Pound Sterling","6","Millions",,,6273.9253752,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1986","1986","EUR","Euro","6","Millions",,,97791.669761,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1987","1987","EUR","Euro","6","Millions",,,104193.87281,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1988","1988","EUR","Euro","6","Millions",,,95141.101553,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1989","1989","EUR","Euro","6","Millions",,,82648.465896,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1990","1990","EUR","Euro","6","Millions",,,98994.41392,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1991","1991","EUR","Euro","6","Millions",,,115046.2044,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1992","1992","EUR","Euro","6","Millions",,,103149.20803,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1993","1993","EUR","Euro","6","Millions",,,99839.128038,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1994","1994","EUR","Euro","6","Millions",,,97499.270481,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1995","1995","EUR","Euro","6","Millions",,,102037.55866,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1996","1996","EUR","Euro","6","Millions",,,101343.7443,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1997","1997","EUR","Euro","6","Millions",,,98581.132993,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1998","1998","EUR","Euro","6","Millions",,,105105.10436,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1999","1999","EUR","Euro","6","Millions",,,111122.3324,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2000","2000","EUR","Euro","6","Millions",,,98923.919403,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2001","2001","EUR","Euro","6","Millions",,,97092.010887,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2002","2002","EUR","Euro","6","Millions",,,102817.71558,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2003","2003","EUR","Euro","6","Millions",,,103361.79728,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2004","2004","EUR","Euro","6","Millions",,,116338.39033,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2005","2005","EUR","Euro","6","Millions",,,108402.97026,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2006","2006","EUR","Euro","6","Millions",,,105885.52669,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2007","2007","EUR","Euro","6","Millions",,,99312.102296,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2008","2008","EUR","Euro","6","Millions",,,99225.398241,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2009","2009","EUR","Euro","6","Millions",,,95211.571036,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2010","2010","EUR","Euro","6","Millions",,,88324.482625,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2011","2011","EUR","Euro","6","Millions",,,89881.326541,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2012","2012","EUR","Euro","6","Millions",,,97846.936446,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2013","2013","EUR","Euro","6","Millions",,,102022.85036,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2014","2014","EUR","Euro","6","Millions",,,88702.601288,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2015","2015","EUR","Euro","6","Millions",,,95440.035165,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2016","2016","EUR","Euro","6","Millions",,,97064.774588,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","EUR","Euro","6","Millions",,,98497.083,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","EUR","Euro","6","Millions",,,103538.48117,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","EUR","Euro","6","Millions",,,104612.03396,,
"EU","European Union","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","EUR","Euro","6","Millions",,,103067.19151,,
